Country/Region,Confirmed,Deaths,Recovered,Active,New confirmed,New deaths,New recovered,Recovery rate(per 100),Mortality rate(per 100),WHO region
Afghanistan,35301,1164,23273,10864,72,17,122,65.93,3.3,EMRO
Albania,4008,111,2264,1633,102,4,50,56.49,2.77,EURO
Algeria,22549,1068,15744,5737,601,11,314,69.82,4.74,AFRO
Andorra,880,52,803,25,0,0,0,91.25,5.91,EURO
Angola,687,29,210,448,49,0,11,30.57,4.22,AFRO
Antigua and Barbuda,76,3,57,16,0,0,0,75.0,3.95,PAHO
Argentina,122524,2220,52607,67697,3223,42,2827,42.94,1.81,PAHO
Armenia,34462,631,23123,10708,461,11,631,67.1,1.83,EURO
Australia,11802,122,8274,3406,361,4,112,70.11,1.03,WPRO
Austria,19573,711,17501,1361,134,0,166,89.41,3.63,EURO
Azerbaijan,27133,349,18450,8334,497,8,645,68.0,1.29,EURO
Bahamas,138,11,91,36,9,0,0,65.94,7.97,PAHO
Bahrain,36004,124,31765,4115,531,0,577,88.23,0.34,EMRO
Bangladesh,202066,2581,110098,89387,2709,34,1373,54.49,1.28,SEARO
Barbados,104,7,91,6,0,0,0,87.5,6.73,PAHO
Belarus,65953,495,57856,7602,171,4,486,87.72,0.75,EURO
Belgium,63706,9800,17289,36617,207,0,0,27.14,15.38,EURO
Belize,40,2,22,16,0,0,0,55.0,5.0,PAHO
Benin,1602,31,782,789,0,0,0,48.81,1.94,AFRO
Bhutan,87,0,78,9,0,0,0,89.66,0.0,SEARO
Bolivia,58138,2106,18200,37832,2036,57,318,31.3,3.62,PAHO
Bosnia and Herzegovina,8161,246,3648,4267,253,1,36,44.7,3.01,EURO
Botswana,522,1,48,473,0,0,0,9.2,0.19,AFRO
Brazil,2074860,78772,1447408,548680,28532,921,18888,69.76,3.8,PAHO
Brunei,141,3,138,0,0,0,0,97.87,2.13,WPRO
Bulgaria,8638,299,4081,4258,196,2,48,47.24,3.46,EURO
Burkina Faso,1047,53,887,107,2,0,0,84.72,5.06,AFRO
Burma,340,6,273,61,1,0,2,80.29,1.76,SEARO
Burundi,310,1,207,102,0,0,0,66.77,0.32,AFRO
Cabo Verde,2014,21,913,1080,75,2,11,45.33,1.04,AFRO
Cambodia,171,0,133,38,0,0,0,77.78,0.0,WPRO
Cameroon,16157,373,0,15784,0,0,0,0.0,2.31,AFRO
Canada,111875,8892,0,102983,316,8,0,0.0,7.95,PAHO
Central African Republic,4485,55,1348,3082,96,2,60,30.06,1.23,AFRO
Chad,889,75,800,14,2,0,0,89.99,8.44,AFRO
Chile,328846,8445,299449,20952,2407,98,2635,91.06,2.57,PAHO
China,85314,4644,78241,2429,0,0,0,91.71,5.44,WPRO
Colombia,190700,6516,85836,98348,8560,228,5199,45.01,3.42,PAHO
Comoros,328,7,311,10,0,0,0,94.82,2.13,AFRO
Costa Rica,10551,54,2902,7595,582,7,84,27.5,0.51,PAHO
Cote d'Ivoire,13912,91,8000,5821,216,4,393,57.5,0.65,AFRO
Croatia,4253,120,2929,1204,116,0,104,68.87,2.82,EURO
Cuba,2445,87,2304,54,1,0,4,94.23,3.56,PAHO
Cyprus,1037,19,845,173,4,0,0,81.49,1.83,EURO
Czechia,13855,358,0,13497,113,0,0,0.0,2.58,EURO
Democratic Republic of the Congo,8324,193,4313,3818,75,0,65,51.81,2.32,AFRO
Denmark,13361,611,12397,353,0,0,0,92.78,4.57,EURO
Djibouti,5003,56,4809,138,0,0,0,96.12,1.12,EMRO
Dominica,18,0,18,0,0,0,0,100.0,0.0,PAHO
Dominican Republic,51519,971,24607,25941,1406,29,184,47.76,1.88,PAHO
Ecuador,73382,5282,31757,36343,938,32,353,43.28,7.2,PAHO
Egypt,87172,4251,27868,55053,698,63,566,31.97,4.88,EMRO
El Salvador,11508,324,6560,4624,301,15,138,57.0,2.82,PAHO
Equatorial Guinea,3071,51,842,2178,0,0,0,27.42,1.66,AFRO
Eritrea,251,0,155,96,0,0,0,61.75,0.0,AFRO
Estonia,2021,69,1912,40,1,0,2,94.61,3.41,EURO
Eswatini,1729,21,788,920,110,0,19,45.58,1.21,AFRO
Ethiopia,9147,163,2430,6554,344,13,0,26.57,1.78,AFRO
