Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO region
,Afghanistan,33.93911,67.709953,2020-01-22,0,0,0,0,EMRO
,Albania,41.1533,20.1683,2020-01-22,0,0,0,0,EURO
,Algeria,28.0339,1.6596,2020-01-22,0,0,0,0,AFRO
,Andorra,42.5063,1.5218,2020-01-22,0,0,0,0,EURO
,Angola,-11.2027,17.8739,2020-01-22,0,0,0,0,AFRO
,Antigua and Barbuda,17.0608,-61.7964,2020-01-22,0,0,0,0,PAHO
,Argentina,-38.4161,-63.6167,2020-01-22,0,0,0,0,PAHO
,Armenia,40.0691,45.0382,2020-01-22,0,0,0,0,EURO
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-22,0,0,0,0,WPRO
New South Wales,Australia,-33.8688,151.2093,2020-01-22,0,0,0,0,WPRO
Northern Territory,Australia,-12.4634,130.8456,2020-01-22,0,0,0,0,WPRO
Queensland,Australia,-27.4698,153.0251,2020-01-22,0,0,0,0,WPRO
South Australia,Australia,-34.9285,138.6007,2020-01-22,0,0,0,0,WPRO
Tasmania,Australia,-42.8821,147.3272,2020-01-22,0,0,0,0,WPRO
Victoria,Australia,-37.8136,144.9631,2020-01-22,0,0,0,0,WPRO
Western Australia,Australia,-31.9505,115.8605,2020-01-22,0,0,0,0,WPRO
,Austria,47.5162,14.5501,2020-01-22,0,0,0,0,EURO
,Azerbaijan,40.1431,47.5769,2020-01-22,0,0,0,0,EURO
,Bahamas,25.025885,-78.035889,2020-01-22,0,0,0,0,PAHO
,Bahrain,26.0275,50.55,2020-01-22,0,0,0,0,EMRO
,Bangladesh,23.685,90.3563,2020-01-22,0,0,0,0,SEARO
,Barbados,13.1939,-59.5432,2020-01-22,0,0,0,0,PAHO
,Belarus,53.7098,27.9534,2020-01-22,0,0,0,0,EURO
,Belgium,50.8333,4.469936,2020-01-22,0,0,0,0,EURO
,Benin,9.3077,2.3158,2020-01-22,0,0,0,0,AFRO
,Bhutan,27.5142,90.4336,2020-01-22,0,0,0,0,SEARO
,Bolivia,-16.2902,-63.5887,2020-01-22,0,0,0,0,PAHO
,Bosnia and Herzegovina,43.9159,17.6791,2020-01-22,0,0,0,0,EURO
,Brazil,-14.235,-51.9253,2020-01-22,0,0,0,0,PAHO
,Brunei,4.5353,114.7277,2020-01-22,0,0,0,0,WPRO
,Bulgaria,42.7339,25.4858,2020-01-22,0,0,0,0,EURO
,Burkina Faso,12.2383,-1.5616,2020-01-22,0,0,0,0,AFRO
,Cabo Verde,16.5388,-23.0418,2020-01-22,0,0,0,0,AFRO
,Cambodia,11.55,104.9167,2020-01-22,0,0,0,0,WPRO
,Cameroon,3.8480000000000003,11.5021,2020-01-22,0,0,0,0,AFRO
Alberta,Canada,53.9333,-116.5765,2020-01-22,0,0,0,0,PAHO
British Columbia,Canada,53.7267,-127.6476,2020-01-22,0,0,0,0,PAHO
Grand Princess,Canada,0.0,0.0,2020-01-22,0,0,0,0,PAHO
Manitoba,Canada,53.7609,-98.8139,2020-01-22,0,0,0,0,PAHO
New Brunswick,Canada,46.5653,-66.4619,2020-01-22,0,0,0,0,PAHO
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-22,0,0,0,0,PAHO
Nova Scotia,Canada,44.681999999999995,-63.7443,2020-01-22,0,0,0,0,PAHO
Ontario,Canada,51.2538,-85.3232,2020-01-22,0,0,0,0,PAHO
Prince Edward Island,Canada,46.5107,-63.4168,2020-01-22,0,0,0,0,PAHO
Quebec,Canada,52.9399,-73.5491,2020-01-22,0,0,0,0,PAHO
Saskatchewan,Canada,52.9399,-106.4509,2020-01-22,0,0,0,0,PAHO
,Central African Republic,6.6111,20.9394,2020-01-22,0,0,0,0,AFRO
,Chad,15.4542,18.7322,2020-01-22,0,0,0,0,AFRO
,Chile,-35.6751,-71.543,2020-01-22,0,0,0,0,PAHO
Anhui,China,31.8257,117.2264,2020-01-22,1,0,0,1,WPRO
Beijing,China,40.1824,116.4142,2020-01-22,14,0,0,14,WPRO
Chongqing,China,30.0572,107.874,2020-01-22,6,0,0,6,WPRO
Fujian,China,26.0789,117.9874,2020-01-22,1,0,0,1,WPRO
Gansu,China,35.7518,104.2861,2020-01-22,0,0,0,0,WPRO
Guangdong,China,23.3417,113.4244,2020-01-22,26,0,0,26,WPRO
Guangxi,China,23.8298,108.7881,2020-01-22,2,0,0,2,WPRO
Guizhou,China,26.8154,106.8748,2020-01-22,1,0,0,1,WPRO
Hainan,China,19.1959,109.7453,2020-01-22,4,0,0,4,WPRO
Hebei,China,39.549,116.1306,2020-01-22,1,0,0,1,WPRO
Heilongjiang,China,47.861999999999995,127.7615,2020-01-22,0,0,0,0,WPRO
Henan,China,37.8957,114.9042,2020-01-22,5,0,0,5,WPRO
Hong Kong,China,22.3,114.2,2020-01-22,0,0,0,0,WPRO
Hubei,China,30.9756,112.2707,2020-01-22,444,17,28,399,WPRO
Hunan,China,27.6104,111.7088,2020-01-22,4,0,0,4,WPRO
Inner Mongolia,China,44.0935,113.9448,2020-01-22,0,0,0,0,WPRO
Jiangsu,China,32.9711,119.455,2020-01-22,1,0,0,1,WPRO
Jiangxi,China,27.614,115.7221,2020-01-22,2,0,0,2,WPRO
Jilin,China,43.6661,126.1923,2020-01-22,0,0,0,0,WPRO
Liaoning,China,41.2956,122.6085,2020-01-22,2,0,0,2,WPRO
Macau,China,22.1667,113.55,2020-01-22,1,0,0,1,WPRO
Ningxia,China,37.2692,106.1655,2020-01-22,1,0,0,1,WPRO
Qinghai,China,35.7452,95.9956,2020-01-22,0,0,0,0,WPRO
Shaanxi,China,35.1917,108.8701,2020-01-22,0,0,0,0,WPRO
Shandong,China,36.3427,118.1498,2020-01-22,2,0,0,2,WPRO
Shanghai,China,31.201999999999998,121.4491,2020-01-22,9,0,0,9,WPRO
Shanxi,China,37.5777,112.2922,2020-01-22,1,0,0,1,WPRO
Sichuan,China,30.6171,102.7103,2020-01-22,5,0,0,5,WPRO
Tianjin,China,39.3054,117.323,2020-01-22,4,0,0,4,WPRO
Tibet,China,31.6927,88.0924,2020-01-22,0,0,0,0,WPRO
Xinjiang,China,41.1129,85.2401,2020-01-22,0,0,0,0,WPRO
Yunnan,China,24.974,101.48700000000001,2020-01-22,1,0,0,1,WPRO
Zhejiang,China,29.1832,120.0934,2020-01-22,10,0,0,10,WPRO
,Colombia,4.5709,-74.2973,2020-01-22,0,0,0,0,PAHO
,Republic of the Congo,-0.228,15.8277,2020-01-22,0,0,0,0,AFRO
,Democratic Republic of the Congo,-4.0383,21.7587,2020-01-22,0,0,0,0,AFRO
,Costa Rica,9.7489,-83.7534,2020-01-22,0,0,0,0,PAHO
,Cote d'Ivoire,7.54,-5.5471,2020-01-22,0,0,0,0,AFRO
,Croatia,45.1,15.2,2020-01-22,0,0,0,0,EURO
,Cuba,21.521757,-77.78116700000002,2020-01-22,0,0,0,0,PAHO
