Date,Confirmed,Deaths,Recovered,Active,New confirmed,New deaths,New recovered,Recovery rate(per 100),Mortality rate(per 100),Number of countries
2020-01-22,555,17,28,510,0,0,0,5.05,3.06,6
2020-01-23,654,18,30,606,99,1,2,4.59,2.75,8
2020-01-24,941,26,36,879,287,8,6,3.83,2.76,9
2020-01-25,1434,42,39,1353,493,16,3,2.72,2.93,11
2020-01-26,2118,56,52,2010,684,14,13,2.46,2.64,13
2020-01-27,2927,82,61,2784,809,26,9,2.08,2.8,16
2020-01-28,5578,131,107,5340,2651,49,46,1.92,2.35,16
2020-01-29,6166,133,125,5908,588,2,18,2.03,2.16,18
2020-01-30,8234,171,141,7922,2068,38,16,1.71,2.08,20
2020-01-31,9927,213,219,9495,1693,42,78,2.21,2.15,24
2020-02-01,12038,259,281,11498,2111,46,62,2.33,2.15,25
2020-02-02,16787,362,459,15966,4749,103,178,2.73,2.16,25
2020-02-03,19887,426,604,18857,3100,64,145,3.04,2.14,25
2020-02-04,23898,492,821,22585,4011,66,217,3.44,2.06,26
2020-02-05,27643,564,1071,26008,3745,72,250,3.87,2.04,26
2020-02-06,30802,634,1418,28750,3159,70,347,4.6,2.06,26
2020-02-07,34334,719,1902,31713,3532,85,484,5.54,2.09,26
2020-02-08,37068,806,2468,33794,2734,87,566,6.66,2.17,26
2020-02-09,40095,906,3053,36136,3027,100,585,7.61,2.26,26
2020-02-10,42633,1013,3710,37910,2538,107,657,8.7,2.38,26
2020-02-11,44675,1113,4413,39149,2042,100,703,9.88,2.49,26
2020-02-12,45053,1118,4841,39094,378,5,428,10.75,2.48,26
2020-02-13,60206,1371,5922,52913,15153,253,1081,9.84,2.28,26
2020-02-14,66690,1523,7605,57562,6484,152,1683,11.4,2.28,27
2020-02-15,68765,1666,8892,58207,2075,143,1287,12.93,2.42,27
2020-02-16,70879,1770,10309,58800,2114,104,1417,14.54,2.5,27
2020-02-17,72815,1868,11940,59007,1936,98,1631,16.4,2.57,27
2020-02-18,74609,2008,13680,58921,1794,140,1740,18.34,2.69,27
2020-02-19,75030,2123,15381,57526,421,115,1701,20.5,2.83,28
2020-02-20,75577,2246,17352,55979,547,123,1971,22.96,2.97,28
2020-02-21,76206,2250,17949,56007,629,4,597,23.55,2.95,30
2020-02-22,77967,2457,21832,53678,1761,207,3883,28.0,3.15,30
2020-02-23,78288,2467,22285,53536,321,10,453,28.47,3.15,30
2020-02-24,78852,2627,24028,52197,564,160,1743,30.47,3.33,35
2020-02-25,79705,2707,26629,50369,853,80,2601,33.41,3.4,40
2020-02-26,80668,2767,29054,48847,963,60,2425,36.02,3.43,46
2020-02-27,82032,2810,31896,47326,1364,43,2842,38.88,3.43,50
2020-02-28,83409,2867,35283,45259,1377,57,3387,42.3,3.44,56
2020-02-29,85304,2936,38285,44083,1895,69,3002,44.88,3.44,60
2020-03-01,87681,2990,41176,43515,2377,54,2891,46.96,3.41,65
2020-03-02,89655,3079,44053,42523,1974,89,2877,49.14,3.43,72
2020-03-03,92232,3154,46648,42430,2577,75,2595,50.58,3.42,76
2020-03-04,94531,3249,49575,41707,2299,95,2927,52.44,3.44,80
2020-03-05,97322,3342,52193,41787,2791,93,2618,53.63,3.43,84
2020-03-06,101265,3454,54132,43679,3943,112,1939,53.46,3.41,93
2020-03-07,105303,3553,56622,45128,4038,99,2490,53.77,3.37,94
2020-03-08,109254,3797,58971,46486,3951,244,2349,53.98,3.48,99
2020-03-09,113154,3981,60770,48403,3900,184,1799,53.71,3.52,102
2020-03-10,118178,4260,62545,51373,5024,279,1775,52.92,3.6,105
2020-03-11,125841,4604,64815,56422,7663,344,2270,51.51,3.66,111
2020-03-12,131591,4909,66091,60591,5750,305,1276,50.22,3.73,113
2020-03-13,145998,5406,67839,72753,14407,497,1748,46.47,3.7,120
2020-03-14,157089,5823,70209,81057,11091,417,2370,44.69,3.71,133
2020-03-15,168235,6464,73619,88152,11146,641,3410,43.76,3.84,137
2020-03-16,182894,7144,75045,100705,14659,680,1426,41.03,3.91,143
2020-03-17,198738,7948,77527,113263,15844,804,2482,39.01,4.0,146
2020-03-18,218325,8845,79874,129606,19587,897,2347,36.58,4.05,150
2020-03-19,246243,9951,81509,154783,27918,1106,1635,33.1,4.04,154
2020-03-20,275852,11429,83954,180469,29609,1478,2445,30.43,4.14,161
2020-03-21,308130,13134,88222,206774,32278,1705,4268,28.63,4.26,163
2020-03-22,341543,14832,93061,233650,33413,1698,4839,27.25,4.34,168
2020-03-23,383708,16749,93527,273432,42165,1917,466,24.37,4.37,169
2020-03-24,424847,19017,102470,303360,41154,2268,8943,24.12,4.48,171
2020-03-25,475664,21794,107694,346176,50817,2777,5224,22.64,4.58,174
2020-03-26,538624,24801,115629,398194,62960,3007,7935,21.47,4.6,175
2020-03-27,603024,28319,123946,450759,64400,3518,8317,20.55,4.7,176
2020-03-28,670630,31998,131953,506679,67606,3679,8007,19.68,4.77,176
2020-03-29,730207,35471,141190,553546,59577,3473,9237,19.34,4.86,176
2020-03-30,794846,39635,156431,598780,64639,4164,15241,19.68,4.99,177
2020-03-31,871262,44479,168607,658176,76416,4844,12176,19.35,5.11,179
2020-04-01,947476,50030,183800,713646,76214,5551,15193,19.4,5.28,179
2020-04-02,1028877,56335,200133,772409,81401,6305,16333,19.45,5.48,180
2020-04-03,1112032,62320,214943,834769,83155,5985,14810,19.33,5.6,180
2020-04-04,1192407,68161,234643,889603,80375,5841,19700,19.68,5.72,180
2020-04-05,1264125,73182,247904,943039,71718,5021,13261,19.61,5.79,182
2020-04-06,1336797,79014,264080,993703,72672,5832,16176,19.75,5.91,183
2020-04-07,1413670,86916,286815,1039939,76873,7902,22735,20.29,6.15,183
2020-04-08,1497445,93651,315074,1088720,83775,6735,28259,21.04,6.25,183
2020-04-09,1584070,101280,339160,1143630,86625,7629,24086,21.41,6.39,183
2020-04-10,1671728,108552,360116,1203060,87658,7272,20956,21.54,6.49,184
2020-04-11,1748448,114621,385478,1248349,76720,6069,25362,22.05,6.56,184
2020-04-12,1845230,120352,404209,1320669,96803,5731,18731,21.91,6.52,184
2020-04-13,1914824,126099,430613,1358112,69594,5747,26404,22.49,6.59,184
2020-04-14,1984751,132997,455115,1396639,69927,6898,24502,22.93,6.7,184
2020-04-15,2065580,141309,490922,1433349,80829,8312,35807,23.77,6.84,184
2020-04-16,2162292,148592,520801,1492899,96712,7283,29879,24.09,6.87,184
2020-04-17,2250016,157482,545970,1546564,87724,8890,25169,24.27,7.0,184
2020-04-18,2323544,163953,569313,1590278,73529,6471,23343,24.5,7.06,184
2020-04-19,2404069,168523,599880,1635666,80525,4570,30567,24.95,7.01,184
2020-04-20,2477408,173966,621062,1682380,73339,5443,21182,25.07,7.02,184
2020-04-21,2552658,181123,655115,1716420,75250,7157,34053,25.66,7.1,184
2020-04-22,2629464,187878,684160,1757426,78994,6755,29045,26.02,7.15,184
2020-04-23,2718477,194728,712319,1811430,89013,6850,28159,26.2,7.16,184
2020-04-24,2805417,201402,761741,1842274,96974,6674,49422,27.15,7.18,184
2020-04-25,2889538,206980,788531,1894027,84121,5578,26790,27.29,7.16,184
2020-04-26,2962485,210863,816123,1935499,72948,3883,27592,27.55,7.12,184
2020-04-27,3031189,215512,842380,1973297,68704,4649,26257,27.79,7.11,184
2020-04-28,3106488,221975,874543,2009970,75404,6463,32163,28.15,7.15,184
2020-04-29,3183534,228743,915424,2039367,79558,6768,40881,28.75,7.19,184
